linux_path	wine_path	instruments	encoded	presets	samples	nonkontakt	files
/mnt/workspace/ABLETON SNEMANJE/Music Projects/Ableton Launchpad testbed_01 Project	D:\ABLETON SNEMANJE\Music Projects\Ableton Launchpad testbed_01 Project	0	0	0	256	0	706
/mnt/workspace/PROGRAMS/VST, Samples & DAW/Audio Imperia - Sinfonia Drums	D:\PROGRAMS\VST, Samples & DAW\Audio Imperia - Sinfonia Drums	28	2	0	16253	0	16288
/mnt/workspace/PROGRAMS/VST, Samples & DAW/Doru Malaia - Ethnic Super Drums Collection	D:\PROGRAMS\VST, Samples & DAW\Doru Malaia - Ethnic Super Drums Collection	194	0	0	18556	0	18763
/mnt/workspace/PROGRAMS/VST, Samples & DAW/Drumdrops - Vintage Funk Kit	D:\PROGRAMS\VST, Samples & DAW\Drumdrops - Vintage Funk Kit	2	2	0	0	0	1415
/mnt/workspace/PROGRAMS/VST, Samples & DAW/Drumforge I Ultimate [KONTAKT-TRiGGER-DRUMAGOG]/KONTAKT/Drumforge.I.Ultimate.KONTAKT-SYNTHiC4TE	D:\PROGRAMS\VST, Samples & DAW\Drumforge I Ultimate [KONTAKT-TRiGGER-DRUMAGOG]\KONTAKT\Drumforge.I.Ultimate.KONTAKT-SYNTHiC4TE	152	248	0	18405	0	18806
/mnt/workspace/PROGRAMS/VST, Samples & DAW/Epic SoundLab - The Forge	D:\PROGRAMS\VST, Samples & DAW\Epic SoundLab - The Forge	244	2	0	1337	0	1645
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/8Dio Phenex Bundle	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\8Dio Phenex Bundle	36	2	0	4602	0	4642
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/Amen Drums [Vintage Drum Samples]	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\Amen Drums [Vintage Drum Samples]	2	0	0	180	0	189
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/Cy-FX [Ergo Kukke]	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\Cy-FX [Ergo Kukke]	1	2	54	799	0	972
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/Dhol Ensemble [Sonuscore]	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\Dhol Ensemble [Sonuscore]	1	2	0	952	0	955
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/Hybrid_Tools_Dark_Prophecy	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\Hybrid_Tools_Dark_Prophecy	25	2	0	1904	0	1933
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/IndianSantoor/PSISA	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\IndianSantoor\PSISA	10	0	0	578	0	605
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/Liminal - Vocal Textures Volume 1 [Crocus Soundware]	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\Liminal - Vocal Textures Volume 1 [Crocus Soundware]	1	2	37	1891	0	1932
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/Neo Guitar Series - Hinterland 1.1.0 [Musical Sampling]	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\Neo Guitar Series - Hinterland 1.1.0 [Musical Sampling]	54	2	0	1597	0	1653
