linux_path	wine_path	instruments	encoded	presets	samples	nonkontakt	files
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/60s Klira Violin Bass [Past to Future Reverbs]	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\60s Klira Violin Bass [Past to Future Reverbs]	1	0	0	0	0	4
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/Acoustic Blues Guitar Strummer [Past to Future Reverbs]	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\Acoustic Blues Guitar Strummer [Past to Future Reverbs]	1	0	0	0	0	4
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/Leap - Acoustic Drums [Native Instruments]	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\Leap - Acoustic Drums [Native Instruments]	0	0	0	160	0	184
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/Leap - Hot Vocals [Native Instruments]	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\Leap - Hot Vocals [Native Instruments]	0	0	0	160	0	183
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/Leap - Soul Gold [Native Instruments]	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\Leap - Soul Gold [Native Instruments]	0	0	0	160	0	183
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/THAT.SOUND.ORGANIC.PERCUSSION.(SCENE)-DISCOVER/z PRESETS	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\THAT.SOUND.ORGANIC.PERCUSSION.(SCENE)-DISCOVER\z PRESETS	13	0	0	0	0	304
/mnt/workspace/PROGRAMS/VST, Samples & DAW/Hy2rogen - Tekno House Nights/HTHN SAMPLER PATCHES/KONTAKT	D:\PROGRAMS\VST, Samples & DAW\Hy2rogen - Tekno House Nights\HTHN SAMPLER PATCHES\KONTAKT	7	0	0	0	0	7
/mnt/workspace/PROGRAMS/VST, Samples & DAW/Keyscape - 13	D:\PROGRAMS\VST, Samples & DAW\Keyscape - 13	13	0	0	0	0	13
/mnt/workspace/PROGRAMS/VST, Samples & DAW/LM - Reel People Broken Beat Nu Jazz And Soul.2/RP2_Sampler Patches/KONTAKT	D:\PROGRAMS\VST, Samples & DAW\LM - Reel People Broken Beat Nu Jazz And Soul.2\RP2_Sampler Patches\KONTAKT	6	0	0	0	0	6
/mnt/workspace/PROGRAMS/VST, Samples & DAW/LM - Reel People Broken Beat Nu Jazz And Soul.3/RP3_Sampler_Patches/KONTAKT	D:\PROGRAMS\VST, Samples & DAW\LM - Reel People Broken Beat Nu Jazz And Soul.3\RP3_Sampler_Patches\KONTAKT	80	0	0	0	0	80
/mnt/workspace/PROGRAMS/VST, Samples & DAW/LM - Reel People Broken Beat Nu Jazz And Soul.4/RP4_SAMPLER_PATCHES/KONTAKT	D:\PROGRAMS\VST, Samples & DAW\LM - Reel People Broken Beat Nu Jazz And Soul.4\RP4_SAMPLER_PATCHES\KONTAKT	52	0	0	0	0	52
/mnt/workspace/PROGRAMS/VST, Samples & DAW/LM - Reel People Broken Beat Nu Jazz And Soul.5/RP5_SAMPLER_PATCHES/KONTAKT	D:\PROGRAMS\VST, Samples & DAW\LM - Reel People Broken Beat Nu Jazz And Soul.5\RP5_SAMPLER_PATCHES\KONTAKT	73	0	0	0	0	73
/mnt/storage/Programs/Vir2.Instruments.Mojo.Horn.Section.VSTi.RTAS.AU.HYBRID.DVDR.D1-AiRISO/Update/EXTRACTED/__MACOSX	E:\Programs\Vir2.Instruments.Mojo.Horn.Section.VSTi.RTAS.AU.HYBRID.DVDR.D1-AiRISO\Update\EXTRACTED\__MACOSX	153	0	0	0	0	158
