linux_path	wine_path	instruments	encoded	presets	samples	nonkontakt	files
/mnt/workspace/BACKUP/Kontakt 8	D:\BACKUP\Kontakt 8	33	10	0	1027	30	8178
/mnt/workspace/PROGRAMS/VST, Samples & DAW/Balinese Gamelan Library	D:\PROGRAMS\VST, Samples & DAW\Balinese Gamelan Library	13	10	11	0	0	68
/mnt/workspace/PROGRAMS/VST, Samples & DAW/Best Service - The Orchestra Complete	D:\PROGRAMS\VST, Samples & DAW\Best Service - The Orchestra Complete	295	14	302	0	0	616
/mnt/workspace/PROGRAMS/VST, Samples & DAW/Cloud Supply Library	D:\PROGRAMS\VST, Samples & DAW\Cloud Supply Library	1	6	151	0	0	317
/mnt/workspace/PROGRAMS/VST, Samples & DAW/Electro Acoustic	D:\PROGRAMS\VST, Samples & DAW\Electro Acoustic	1	20	191	0	0	413
/mnt/workspace/PROGRAMS/VST, Samples & DAW/Evolution Series - World Percussion v2.0 Close Front Mics	D:\PROGRAMS\VST, Samples & DAW\Evolution Series - World Percussion v2.0 Close Front Mics	133	42	0	0	0	1541
/mnt/workspace/PROGRAMS/VST, Samples & DAW/EWQL Colossus	D:\PROGRAMS\VST, Samples & DAW\EWQL Colossus	510	24	0	0	0	538
/mnt/workspace/PROGRAMS/VST, Samples & DAW/EWQL RA	D:\PROGRAMS\VST, Samples & DAW\EWQL RA	673	12	0	0	0	688
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/Celtic Instruments [Big Fish Audio]	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\Celtic Instruments [Big Fish Audio]	13	62	0	0	0	95
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/Conflux [Native Instruments]	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\Conflux [Native Instruments]	31	4	201	0	0	476
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/Flute Textures [Emergence Audio]	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\Flute Textures [Emergence Audio]	16	8	163	0	0	358
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/Hybrid Tools 4 [8Dio]	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\Hybrid Tools 4 [8Dio]	36	40	0	0	0	119
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/India	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\India	11	24	132	0	0	1118
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/Kithara 1.0.1 [Native Instruments]	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\Kithara 1.0.1 [Native Instruments]	21	22	305	0	0	682
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/Kontakt Factory Selection 2 v1.2.0 [Native Instruments]	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\Kontakt Factory Selection 2 v1.2.0 [Native Instruments]	74	10	0	0	0	1467
/mnt/workspace/PROGRAMS/VST, Samples & DAW/FROM TIXATI DL/Kora 1.0.1 [Soniccouture]	D:\PROGRAMS\VST, Samples & DAW\FROM TIXATI DL\Kora 1.0.1 [Soniccouture]	1	6	22	0	0	223
