# cover-overrides.tsv  —  manual cover art for entries that have no image on disk.
# Format (TAB-separated):   <exact entry name><TAB><absolute path to an image file>
# The builder uses these ONLY when a library has no on-disk cover. Survives rebuilds.
# Lines starting with # are ignored.
#
# --- PAMAHA EXTRA presets: reuse the main PAMAHA library cover (edit path if the main cover differs) ---
PAMAHA NO RELEASE SAMPLES	/mnt/btrfs_disk/DS Libraries/PAMAHA/PAMAHA/RESOURCES/Pamaha Cover.png
PAMAHA SOFTER NO RELEASE SAMPLES	/mnt/btrfs_disk/DS Libraries/PAMAHA/PAMAHA/RESOURCES/Pamaha Cover.png
#
# --- Collected covers from /home/phnx/Slike/Missing DS Images/ (2026-09-12) ---
1950s Archer L-1X Crystal Mic Choir	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/1950s-archer-l-1x-crystal-mic-choir.png
A Childs Memory	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/a-childs-memory.png
Archive Found Strings 001 DS	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/archive-found-strings-001-ds.png
A Singing Bowl From New Hampshire	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/a-singing-bowl-from-new-hampshire.png
Austrian Jaw Harp	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/austrian-jaw-harp.png
Authentic Sleigh Bells and One Fake Bell	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/authentic-sleigh-bells-and-one-fake-bell.png
Bioshock Kalimba	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/bioshock-kalimba.png
Classic Slide Whistle	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/classic-slide-whistle.png
Clave Frog (& Friends)	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/clave-frog-friends.png
Duduk	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/duduk.png
Dynamic Overtone Guitar	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/dynamic-overtone-guitar.png
E Bass Studio Stomps DS	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/e-bass-studio-stomps-ds.png
Fable & Clare1	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/fable-clare1.png
Forgotten Bagpipes	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/forgotten-bagpipes.png
GjallarHorn	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/gjallarhorn.png
Harmonica Americana	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/harmonica-americana.png
Homemade Ceramic Udo	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/homemade-ceramic-udo.png
Homemade Oscillator and Speaker Circuit	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/homemade-oscillator-and-speaker-circuit.png
Indonesian Didgeridoo	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/indonesian-didgeridoo.png
Kazoo	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/kazoo.png
Low Whistle	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/low-whistle.png
LWR Swallow Guitar	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/lwr-swallow-guitar.png
NTS-2 An Oscilloscope Turned Synth	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/nts-2-an-oscilloscope-turned-synth.png
Only drums	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/only-drums.png
Optical Fibre	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/optical-fibre.png
Phobos - Canvas [ESSENTIAL EDITION] (0.8.9)	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/phobos-canvas-essential-edition-0-8-9.png
Plasma Drive Kalimba	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/plasma-drive-kalimba.png
Raw Violin	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/raw-violin.png
RedTape Z2	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/redtape-z2.png
Reluctant Autoharp (DS)	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/reluctant-autoharp-ds.png
Sewers 1.0.2	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/sewers-1-0-2.png
Slit Log Drum	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/slit-log-drum.png
Stratford Tony Organ	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/stratford-tony-organ.png
TheDiArchtop	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/thediarchtop.png
The Kickstarter Risk - Hanago	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/the-kickstarter-risk-hanago.png
The Terracotta Ball	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/the-terracotta-ball.png
The Vintage Japanese Mandolin	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/the-vintage-japanese-mandolin.png
Tin Can Drums	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/tin-can-drums.png
V-0002 Glitched Washed Pad	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/v-0002-glitched-washed-pad.png
V-0003 Glitched Washed Pad	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/v-0003-glitched-washed-pad.png
V-0004 Glitched Washed Pad	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/v-0004-glitched-washed-pad.png
Voodoo Drum's of Jakmel	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/voodoo-drum-s-of-jakmel.png
Waterfall	/home/phnx/KIRO/.kiro/specs/kontakt-workspace-drive-dirty-fix/artifacts/covers-manual/waterfall.png
