==================================================================
 Decent Sampler library extraction analysis
 source: /mnt/workspace/Free VST-s/Pianobook/Decent Sampler
 date:   pon 07 sep 2026 16:07:39 CEST
==================================================================

===== 1) archives found =====
  count: 400

===== 1b) already-extracted DS content (dslibrary/folders) =====
    .dspreset files present: 0

===== 2) per-archive: compressed size + TRUE extracted size =====
    ARCHIVE                                              COMPRESSED    EXTRACTED
    1065349_NativeFluteOriginal_ChristianHenson_DecentSa       129M         182M  [light]
    1217_v4_WinterPianoNR_ChristianHenson_DecentSampler.        32M          37M  [light]
    12 String Acoustic.zip                                      70M          91M  [light]
    1417838_ClaustrophobicPianoV2_ChristianHenson.zip         1551M        2316M  [light]
    1445258_12OscillatorDoomDrone_ChristianHenson_DS.zip        60M          61M  [light]
    1445643_TheCoolPiano_ChristianHenson.zip                  1797M        2317M  [light]
    1450796_MGSteelStringHarmonics_MikeGeorgiades_DS.zip       161M         246M  [light]
    1452835_NFOAlternativeChamberStringsLongs_MarcoIanne       333M         362M  [light]
    1453143_TheGaffer_ChristianHenson.zip                      560M        2269M  [light]
    1781 - Ganer Square Piano.rar                              399M        2431M  [light]
    1796 - Broadwood Piano.rar                                 239M        1151M  [light]
    1930s Wurlitzer Upright.zip                                125M         179M  [light]
    1950s Archer L-1X Crystal Mic Choir.zip                     23M          43M  [light]
    1984 Elec. Bass Vantage X-99B 1.0 Lite.zip                  23M          30M  [light]
    205404_PalmMutedSchimmel_ChristianHenson_DecentSampl        50M          66M  [light]
    3485_PitchedElectricCeleste_christian-henson_2022030        45M          65M  [light]
    381243_TheSummerPiano_ChristianHenson_DecentSampler.      1061M        1962M  [light]
    381249_SummerFelt_ChristianHenson_DecentSampler.zip       1061M        1962M  [light]
    381264_TheHebrideanKnight_ChristianHenson_DecentSamp       526M         903M  [light]
    3832_Steinway_JonMeyer_DecentSampler.zip                   248M         336M  [light]
    3881_FrozenGlock_dan-keen_DS.zip                           106M         160M  [light]
    3dPrintedOcarina_0.0.0.zip                                   6M           8M  [light]
    40 voices.rar                                                4M           5M  [light]
    4390_ElectricSparkles_ChristianHenson_20211220-18230       611M         792M  [light]
    4833_ShiveringWaves_fred-poirier_20220127-021013.zip        18M          26M  [light]
    486995_FlannelPiano_ChristianHenson_DecentSampler.zi       762M        1318M  [light]
    4877_WartyDulcitone_christianhenson_20220131-150308.       219M         291M  [light]
    5544_PoshCR78_christianhenson_20220322-090000.zip           33M          81M  [light]
    564663_AutumnPianoBundle_ChristianHenson.zip              1937M        4255M  [HEAVY]
    60 Clock Ticks (DS).zip                                      0M           0M  [light]
    626458_TunnelBodhran_ChristianHenson_DecentSampler.z        27M          38M  [light]
    657490_FamilyGrandV3_ChristianHenson.zip                   980M        1563M  [light]
    67047_SystemsGrand_ChristianHenson_DecentSampler.zip        77M         125M  [light]
    80's Module.zip                                             49M          54M  [light]
    850_v6_SpringPiano_ChristianHenson_DecentSampler.zip       195M         258M  [light]
    851_v2_AirPianoClean_ChristianHenson_DecentSampler.z      1278M        1829M  [light]
    855_v2_The9000ftPiano_ChristianHenson_DecentSampler.      1448M        1758M  [light]
    856_TrackedPiano_ChristianHenson_DecentSampler.zip         194M         275M  [light]
    857_v2_MaxsBentley_ChristianHenson_DecentSampler.zip       272M         347M  [light]
    858_CHTapeDelayExperiment_ChristianHenson_DecentSamp       106M         149M  [light]
    872_v6_IceChoir_ChristianHenson_DecentSampler.zip          173M         180M  [light]
    Accordion.dsbundle.zip                                      24M          29M  [light]
    Accordion-LaMelodiosa.zip                                   34M          46M  [light]
    A Childs Memory.zip                                         93M         159M  [light]
    Acoustic Cassette Drums (DS).zip                            13M          16M  [light]
    Aeon Guitar (DS).zip                                        78M          92M  [light]
    AfriXilo.zip                                                 0M           1M  [light]
    Afterglow Demo (DS).zip                                     90M         124M  [light]
    Albi's Sound Toolbox (DS).zip                               44M          58M  [light]
    Aleatory V1_3.zip                                          383M         457M  [light]
    Alto-Recorder V1.1.zip                                      22M          28M  [light]
    Amazonia 1.1.zip                                            12M          18M  [light]
    Amazon Kalimba DCSampler Preset.zip                         36M          46M  [light]
    ampco-v1-dspreset.zip                                        8M          26M  [light]
    Amsterdam Metro.zip                                         28M          31M  [light]
    Ancient Harp.zip                                             2M           5M  [light]
    Animal Pads.zip                                             21M          21M  [light]
    Antique Harmonium (DS).zip                                 700M         784M  [light]
    Antz Decent Sampler 1.0 2.zip                              604M         650M  [light]
    Archive Found Strings 001 DS.zip                            91M         106M  [light]
    arnBottles.zip                                               6M           7M  [light]
    arnLofiChorus.zip                                           20M          22M  [light]
    ASIMOV v1.0.zip                                            367M         367M  [light]
    A Singing Bowl From New Hampshire.zip                       34M          45M  [light]
    Auditory1 - Deep Drum.zip                                   22M          22M  [light]
    Auditory1 - Deep Harpsichord.zip                            98M          98M  [light]
    Auditory1 - Deep Orient.zip                                 57M          57M  [light]
    Austrian Jaw Harp.zip                                       16M          18M  [light]
    Authentic Sleigh Bells and One Fake Bell.zip                10M          12M  [light]
    Automotive Junk.zip                                         41M          49M  [light]
    Baby Grand Piano.zip                                        29M          92M  [light]
    Bandola_Andina_Colombiana.zip                             1500M        1867M  [light]
    Bass_Dean_5.zip                                             66M         101M  [light]
    BassForge_Demo.zip                                         122M         162M  [light]
    Bass Tromb one two.zip                                       9M          11M  [light]
    Beyond the Strings (DS).zip                                171M         280M  [light]
    Bilhorn Reed V2.zip                                       1623M        1750M  [light]
    Bioshock Kalimba.zip                                       331M         370M  [light]
    Blackbird for Pianobook 250818.zip                           1M           1M  [light]
    Black Hole Synth.zip                                         3M           3M  [light]
    Blended Keys - E Devey.zip                                 618M         787M  [light]
    Blown Feedback (DS).zip                                     40M          48M  [light]
    Bombo_de_Guancho_(Decent_Sampler).zip                        9M           9M  [light]
    Bonang-Barung-Kerakyatan_DecentSampler_1.0.zip              35M          35M  [light]
    Bosque(v1.0).zip                                           646M        1194M  [light]
    Bottle-O-Phone_Decent_Sampler-1.0.zip                       24M          39M  [light]
    Bowed Effigy.dslibrary.zip                                2882M        2882M  [light]
    Broken Cassette Piano (v1.1.1).zip                         712M         948M  [light]
    Bruno_Drums_(Decent_Sampler).zip                            34M          34M  [light]
    BurdigalaAudio-Takoda-Lite.zip                              17M          29M  [light]
    Buttons from Hell.zip                                       11M          11M  [light]
    Casioclone.zip                                             227M         354M  [light]
    Cavern Flute.zip                                             9M          10M  [light]
    CDMK Decent Sampler Submission.zip                          13M          13M  [light]
    Cello Drone.zip                                             59M          67M  [light]
    Charlie's Baritone Uke.zip                                  71M         133M  [light]
    CH Foogered Piano DS.zip                                     7M          13M  [light]
    CH Grumpy Strings DS.zip                                   121M         140M  [light]
    CH Hand Dryer Bass DS.zip                                    0M           0M  [light]
    Chimes.zip                                                  38M         110M  [light]
    Chinese door bells.rar                                     125M         148M  [light]
    ChingKluay DS v1.0.0.zip                                     3M           6M  [light]
    Chloe's Spinet.zip                                          11M          17M  [light]
    CH Octodrums DS.zip                                         10M          11M  [light]
    Choir of the Fallen (DS).zip                               124M         150M  [light]
    Christmas Perc.zip                                         156M         189M  [light]
    Chromatic Flatboard Kalimba.zip                             27M          96M  [light]
    Church Bells.zip                                            11M          11M  [light]
    Cinematic Granular Synthesizer.zip                          75M         263M  [light]
    Classic Slide Whistle.zip                                   36M          36M  [light]
    Clave Frog (& Friends).zip                                 518M         624M  [light]
    Clavinova Warm Pad.dsbundle.zip                              3M           3M  [light]
    Contact Mic Piano v2.zip                                    19M          23M  [light]
    CoollaPiano_SE_lofi.zip                                     50M          50M  [light]
    Coro Di Cicale.zip                                          50M          87M  [light]
    cp10-piano.zip                                               5M          25M  [light]
    C Pops.rar                                                   3M           3M  [light]
    Crafter 6 steel strings (DC).zip                           239M         564M  [light]
    Creaker.v1.0.zip                                             3M           3M  [light]
    CR Seventy Eight v1.0.4 Decent Sampler.zip                  22M          23M  [light]
    cryptid80.dslibrary.zip                                     98M         109M  [light]
    Cupboard Castoffs.zip                                       20M          21M  [light]
    curly - electric piano.zip                                  97M         128M  [light]
    Cymbalum_Decent_Sampler-1.0.zip                             38M          44M  [light]
    DacrMicrosynth.zip                                           2M           3M  [light]
    DacrShaker.zip                                               4M           6M  [light]
    Dark Drums (DS).zip                                        516M         698M  [light]
    DBass.zip                                                  352M         405M  [light]
    Dead Line.zip                                              565M         918M  [light]
    Decent_Oboe.zip                                             79M         136M  [light]
    DecenTron 1.0.0.zip                                        511M         543M  [light]
    DecentSampler_CR78.zip                                       2M           3M  [light]
    Delta_v1.zip                                                 5M           6M  [light]
    Destinys Agent - Zitherone [DS].zip                          4M           8M  [light]
    DFAM Hard Sync Bass.zip                                      5M           6M  [light]
    DFAM Moving Back Alarm Lead.zip                              7M           7M  [light]
    Dictaphone Orchestra.zip                                   468M         621M  [light]
    Dima Koltsov - Some Pads and Stuff.zip                      31M          33M  [light]
    Divine Errors Part 1 Demo.zip                              198M         234M  [light]
    DjembeDuet.zip                                              12M          12M  [light]
    Dobro Slide.zip                                             33M          51M  [light]
    DoomsdayDrumsEssentials.zip                                 21M          21M  [light]
    Drone_Organ_v2_(Decent_Sampler).zip                         16M          16M  [light]
    dspreset-Clockworks-V1.zip                                  10M          21M  [light]
    Duduk.zip                                                   20M          20M  [light]
    Dynamic Overtone Guitar.zip                                596M         954M  [light]
    E Bass Studio Stomps DS.zip                                285M         515M  [light]
    EjIm Piano v0.2.1.zip                                       23M          30M  [light]
    Electric Mandolin (DS).zip                                 806M        1189M  [light]
    Electro Acoustic Piano (DS).zip                            301M         365M  [light]
    elements.zip                                                15M          20M  [light]
    Emerald Resonances.zip                                    1496M        1863M  [light]
    Emotionless Kalimba.zip                                     47M          47M  [light]
    Erhu.zip                                                    97M         119M  [light]
    Fable & Clare1.zip                                          38M          66M  [light]
    Fallout_Organ.zip                                         2670M        2722M  [light]
    Familiy Ensemble v1.0.zip                                   92M         301M  [light]
    Felt_&_Fog_Free_Edition.zip                                218M         263M  [light]
    Festive Celeste.zip                                       5460M        7082M  [HEAVY]
    Florence Upright.zip                                        34M          52M  [light]
    FluteOrgan(1.1).zip                                         21M          22M  [light]
    Flutina.zip                                                 70M          72M  [light]
    FM-Little-Module.zip                                       162M         192M  [light]
    Forest (DS).zip                                             69M          72M  [light]
    Forest melodica.zip                                          3M           3M  [light]
    Forgotten Bagpipes.zip                                      29M          48M  [light]
    Fresh GuitarV2.dsbundle.zip                                 45M         123M  [light]
    Fullbore Synth (DS).zip                                      6M          13M  [light]
    G3Grand(DS).zip                                             88M         109M  [light]
    Gaita_Do.zip                                                27M          27M  [light]
    Gankogui_Decent_Sampler-1.0.zip                              7M           8M  [light]
    Garage Sale Kit.zip                                         29M          74M  [light]
    Garland Music Box Marimba (DS).zip                          19M          29M  [light]
    Garv_Babblings_Sampler.zip                                 121M         197M  [light]
    GEM-Jumbo61.zip                                              8M          15M  [light]
    George Yazbek - Daydream.zip                                64M          69M  [light]
    George Yazbek - The Gift.zip                                17M          19M  [light]
    George Yazbek - The yoyo.zip                                14M          24M  [light]
    GjallarHorn.zip                                             84M          93M  [light]
    Glockenglass.zip                                            17M          23M  [light]
    GoodTimes Keyboard.zip                                      22M          25M  [light]
    grandmas-beachhouse-piano.zip                              410M         443M  [light]
    Grandmas Piano.zip                                          35M          48M  [light]
    Grandpas Piano (DS).zip                                    102M         212M  [light]
    Greenwood Drums.zip                                         97M         351M  [light]
    Gretsch Catalina Ash - Decent Sampler.zip                  103M         143M  [light]
    Guitar percussion and noises.rar                            10M          19M  [light]
    Guitar Precussion 1.1.zip                                    2M           3M  [light]
    Gusli Perepyolochka.zip                                     18M          26M  [light]
    Handpan.zip                                                  4M           4M  [light]
    Harmonica Americana.zip                                     37M          40M  [light]
    Harmonica.rar                                               12M          14M  [light]
    harmonic constellations .zip                               229M         256M  [light]
    Harpsimachord.zip                                         1015M        1185M  [light]
    healingBOWL.zip                                             25M          47M  [light]
    Hears The Rubs_V1.1.dslibrary.zip                         1465M        1465M  [light]
    Heaven and Hell 002.zip                                    293M         341M  [light]
    Hellscape Synth.zip                                          5M           5M  [light]
    Helsinkii1967 DecentSampler v.1.411.zip                    838M        1453M  [light]
    Hohner Melodica.zip                                        209M         217M  [light]
    Homemade Ceramic Udo.zip                                     1M           3M  [light]
    Homemade Oscillator and Speaker Circuit.zip                 30M          30M  [light]
    HomePercussions.zip                                         97M         118M  [light]
    Hurdy Gurdy.zip                                              2M           2M  [light]
    IMPACTOS HYBRID PERCUSSION.zip                            2525M        7964M  [HEAVY]
    Inanimate Glitches.zip                                     134M         378M  [light]
    Indonesian Didgeridoo.zip                                   25M          25M  [light]
    IrishTinWhistle.dsbundle.zip                                 1M           1M  [light]
    Italian Typewriter (DS)1.0.zip                              18M          18M  [light]
    Jews Harp.zip                                               30M          58M  [light]
    Jingle Bells Pad.zip                                        34M          34M  [light]
    Jon's Cajons v1.0.zip                                       28M          34M  [light]
    Jouhikko-TheFinnishBowedLyre.zip                             1M           4M  [light]
    Junost 21 _ Soviet Virtual Synth FREE (DS_EXS).zip         127M         267M  [light]
    Jupiter-6 Unison Strings.zip                                49M          50M  [light]
    KALI-2297_V1.0.zip                                          86M          86M  [light]
    Kalimba_by_Lasiurus.zip                                     33M          51M  [light]
    Kalimba Experiments.zip                                     55M          64M  [light]
    Kalimba (G Pygmy).zip                                       28M          39M  [light]
    Kalimba Swarm.zip                                          333M         347M  [light]
    Kantele-TheFinnishZither.zip                                18M          38M  [light]
    Kazoo.zip                                                   38M          76M  [light]
