# raw folder/library name<TAB>clean display name
# Maintained by tools/apply_name_cleanup.py / tools/update_catalog.py.
# Consumed by build-ds-catalog-html.sh and build-kontakt-catalog-html.sh
# via name_override() so a rebuild keeps these clean names instead of
1065349_NativeFluteOriginal_ChristianHenson_DecentSampler	Native Flute Original
1217_v4_WinterPianoNR_ChristianHenson_DecentSampler	Winter Piano NR
1417838_ClaustrophobicPianoV2_ChristianHenson	Claustrophobic Piano V2
1445258_12OscillatorDoomDrone_ChristianHenson_DS	12 Oscillator Doom Drone
1445643_TheCoolPiano_ChristianHenson	The Cool Piano
1450796_MGSteelStringHarmonics_MikeGeorgiades_DS	MG Steel String Harmonics Mike Georgiades
1452835_NFOAlternativeChamberStringsLongs_MarcoIannello	NFO Alternative Chamber Strings Longs Marco Iannello
1453143_TheGaffer_ChristianHenson	The Gaffer
1984 Elec. Bass Vantage X-99B 1.0 Lite	1984 Elec. Bass Vantage X-99B Lite
205404_PalmMutedSchimmel_ChristianHenson_DecentSampler	Palm Muted Schimmel
3485_PitchedElectricCeleste_christian-henson_20220303-060600	Pitched Electric Celeste Christian Henson
381243_TheSummerPiano_ChristianHenson_DecentSampler	The Summer Piano
381249_SummerFelt_ChristianHenson_DecentSampler	Summer Felt
381264_TheHebrideanKnight_ChristianHenson_DecentSampler	The Hebridean Knight
3832_Steinway_JonMeyer_DecentSampler	Steinway Jon Meyer
3881_FrozenGlock_dan-keen_DS	Frozen Glock Dan Keen
3dPrintedOcarina_0.0.0	3d Printed Ocarina
40 voices	40 Voices
4390_ElectricSparkles_ChristianHenson_20211220-182300	Electric Sparkles
4833_ShiveringWaves_fred-poirier_20220127-021013	Shivering Waves Fred Poirier
486995_FlannelPiano_ChristianHenson_DecentSampler	Flannel Piano
4877_WartyDulcitone_christianhenson_20220131-150308	Warty Dulcitone
5544_PoshCR78_christianhenson_20220322-090000	Posh CR 78
564663_AutumnPianoBundle_ChristianHenson	Autumn Piano Bundle
5Elements	5 Elements
60 Clock Ticks (DS)	60 Clock Ticks
626458_TunnelBodhran_ChristianHenson_DecentSampler	Tunnel Bodhran
657490_FamilyGrandV3_ChristianHenson	Family Grand V3
67047_SystemsGrand_ChristianHenson_DecentSampler	Systems Grand
850_v6_SpringPiano_ChristianHenson_DecentSampler	Spring Piano
851_v2_AirPianoClean_ChristianHenson_DecentSampler	Air Piano Clean
855_v2_The9000ftPiano_ChristianHenson_DecentSampler	The 9000ft Piano
856_TrackedPiano_ChristianHenson_DecentSampler	Tracked Piano
857_v2_MaxsBentley_ChristianHenson_DecentSampler	Maxs Bentley
858_CHTapeDelayExperiment_ChristianHenson_DecentSampler	CH Tape Delay Experiment
872_v6_IceChoir_ChristianHenson_DecentSampler	Ice Choir
ANALOG STRINGS	Analog Strings
Accordion-LaMelodiosa	Accordion La Melodiosa
Acoustic Cassette Drums (DS)	Acoustic Cassette Drums
Aeon Guitar (DS)	Aeon Guitar
AfriXilo	Afri Xilo
Afterglow Demo (DS)	Afterglow Demo
Albi's Sound Toolbox (DS)	Albi's Sound Toolbox
Aleatory V1_3	Aleatory 3
Alto-Recorder	Alto Recorder
Amazonia 1.1	Amazonia
Antique Harmonium (DS)	Antique Harmonium
Antz Decent Sampler 1.0 2	Antz 2
Archive Found Strings 001 DS	Archive Found Strings 001
Bandola_Andina_Colombiana	Bandola Andina Colombiana
BassForge_Demo	Bass Forge Demo
Bass_Dean_5	Bass Dean
Beyond the Strings (DS)	Beyond the Strings
Bilhorn Reed V2	Bilhorn Reed
Blown Feedback (DS)	Blown Feedback
Bombo_de_Guancho_(Decent_Sampler)	Bombo De Guancho
Bosque(v1.0)	Bosque
Bottle-O-Phone_Decent_Sampler-1.0	Bottle O Phone
Broken Cassette Piano (v1.1.1)	Broken Cassette Piano
Bruno_Drums_(Decent_Sampler)	Bruno Drums
BurdigalaAudio-Takoda-Lite	Burdigala Audio Takoda Lite
CH Foogered Piano DS	CH Foogered Piano
CH Grumpy Strings DS	CH Grumpy Strings
CH Hand Dryer Bass DS	CH Hand Dryer Bass
CH Octodrums DS	CH Octodrums
ChingKluay DS v1.0.0	ChingKluay
Choir of the Fallen (DS)	Choir of the Fallen
Clave Frog (& Friends)	Clave Frog & Friends
Contact Mic Piano v2	Contact Mic Piano
Crafter 6 steel strings (DC)	Crafter 6 steel strings DC
Cymbalum_Decent_Sampler-1.0	Cymbalum
DBass	D Bass
DFAM Hard Sync Bass	Dfam Hard Sync Bass
DFAM Moving Back Alarm Lead	Dfam Moving Back Alarm Lead
DS + VT - altstrings Free Edition	Altstrings Free Edition
DacrMicrosynth	Dacr Microsynth
DacrShaker	Dacr Shaker
Dark Drums (DS)	Dark Drums
DecenTron 1.0.0	DecenTron
Decent_Oboe	Oboe
Delta_v1	Delta
Destinys Agent - Zitherone [DS]	Destinys Agent - Zitherone
Drone_Organ_v2_(Decent_Sampler)	Drone Organ
